"source_id","source_category","source_subtype","source_name","source_description","geometry_type","latitude","longitude","geometry_wkt","road_class","road_ref","road_length_km","area_km2","fuel_or_material","capacity_value","capacity_unit","operator","activity_status","default_include","confidence_tier","officially_listed","data_origin","source_authority","official_reference_url","map_source_url","source_license","osm_type","osm_id","osm_last_edit_utc","inventory_retrieved_utc","rag_claim_scope","notes"
"osm-source-relation-3726769","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area_centroid",28.5035181,77.1496244,"POINT(77.1496244 28.5035181)","","",,,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/relation/3726769","ODbL 1.0; © OpenStreetMap contributors","relation",3726769,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Representative centroid from the OSM relation bounds; obtain the full legal/GIS polygon before polygon-distance analysis."
"osm-source-way-1126657156","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5370521,77.1016136,"POLYGON((77.0949483 28.5378533, 77.0966059 28.5388194, 77.1082789 28.5363499, 77.1079624 28.5352848, 77.0949483 28.5378533))","","",,0.163177,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1126657156","ODbL 1.0; © OpenStreetMap contributors","way",1126657156,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1149207611","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.8529749,77.1175707,"POLYGON((77.1157820 28.8548765, 77.1146812 28.8525806, 77.1157401 28.8519994, 77.1170038 28.8510286, 77.1190276 28.8510037, 77.1190414 28.8517681, 77.1204603 28.8518527, 77.1203745 28.8536569, 77.1198595 28.8536945, 77.1198423 28.8549461, 77.1182716 28.8549349, 77.1182974 28.8545703, 77.1163233 28.8544575, 77.1157820 28.8548765))","","",,0.177603,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1149207611","ODbL 1.0; © OpenStreetMap contributors","way",1149207611,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1149207612","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.8546067,77.1135301,"POLYGON((77.1129325 28.8551187, 77.1121186 28.8537431, 77.1136575 28.8530382, 77.1148813 28.8555738, 77.1149415 28.8561571, 77.1130359 28.8561752, 77.1129325 28.8551187))","","",,0.055227,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1149207612","ODbL 1.0; © OpenStreetMap contributors","way",1149207612,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1149207613","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.8552636,77.1086058,"POLYGON((77.1105866 28.8572798, 77.1089417 28.8573169, 77.1088782 28.8545531, 77.1061603 28.8545902, 77.1065875 28.8532861, 77.1102371 28.8532103, 77.1110513 28.8542623, 77.1108087 28.8546416, 77.1105662 28.8552941, 77.1105866 28.8572798))","","",,0.112457,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1149207613","ODbL 1.0; © OpenStreetMap contributors","way",1149207613,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1149207614","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.8443195,77.1191904,"POLYGON((77.1208194 28.8423794, 77.1175473 28.8423886, 77.1175615 28.8462596, 77.1208336 28.8462504, 77.1208194 28.8423794))","","",,0.137182,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1149207614","ODbL 1.0; © OpenStreetMap contributors","way",1149207614,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1149207634","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.7300148,77.1859744,"POLYGON((77.1885704 28.7303312, 77.1879566 28.7297091, 77.1862131 28.7305840, 77.1859771 28.7302453, 77.1874362 28.7295162, 77.1876081 28.7292232, 77.1873236 28.7290693, 77.1870446 28.7287777, 77.1868837 28.7288435, 77.1864009 28.7285001, 77.1851081 28.7288624, 77.1850222 28.7288247, 77.1839708 28.7293986, 77.1838086 28.7301586, 77.1833783 28.7301902, 77.1833914 28.7311720, 77.1836221 28.7314731, 77.1839976 28.7315295, 77.1885704 28.7303312))","","",,0.092798,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1149207634","ODbL 1.0; © OpenStreetMap contributors","way",1149207634,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1149207636","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.7260978,77.1782975,"POLYGON((77.1767507 28.7277808, 77.1764986 28.7276018, 77.1757777 28.7265889, 77.1758755 28.7265147, 77.1760688 28.7260821, 77.1762442 28.7261816, 77.1773135 28.7244147, 77.1808172 28.7252741, 77.1794286 28.7271691, 77.1779179 28.7262636, 77.1778556 28.7263473, 77.1767507 28.7277808))","","",,0.091785,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1149207636","ODbL 1.0; © OpenStreetMap contributors","way",1149207636,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1162572223","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.535028,77.1014808,"POLYGON((77.1007231 28.5350963, 77.1007311 28.5340548, 77.1021473 28.5340218, 77.1022385 28.5359541, 77.1017933 28.5360342, 77.1017348 28.5351517, 77.1017289 28.5350775, 77.1007231 28.5350963))","","",,0.020984,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1162572223","ODbL 1.0; © OpenStreetMap contributors","way",1162572223,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1163433881","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5508687,77.0510298,"POLYGON((77.0469367 28.5491960, 77.0484173 28.5483384, 77.0505738 28.5476881, 77.0517969 28.5475939, 77.0527840 28.5476410, 77.0540500 28.5475939, 77.0545971 28.5478955, 77.0554125 28.5479331, 77.0545542 28.5487248, 77.0538998 28.5495353, 77.0536530 28.5504871, 77.0523012 28.5524002, 77.0514858 28.5536630, 77.0505845 28.5541436, 77.0475483 28.5505343, 77.0466471 28.5493939, 77.0469367 28.5491960))","","",,0.331385,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1163433881","ODbL 1.0; © OpenStreetMap contributors","way",1163433881,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
